fd_code,fd_name,yield,sf_type,unit_nav,f_type
002682,金鹰元和混合C,97.7249,3,1.0681,fund
100022,富国天瑞强势混合,97.6880,3,0.7179,fund
168401,红土精选灵活配置混合,97.5267,3,2.3320,fund
481017,工银量化策略混合,97.4706,3,3.5800,fund
370027,上投摩根智选30混合,97.3899,3,3.0357,fund
001475,易方达国防军工混合,97.3881,3,1.5870,fund
519089,新华成长混合,97.3718,3,1.9174,fund
161222,国投瑞银瑞利混合（LOF）,97.2669,3,2.4540,fund
005376,北信瑞丰华丰混合,97.2344,3,1.9190,fund
002938,中银证券健康产业混合,97.1778,3,2.0331,fund
690011,民生加银积极成长,97.1429,3,2.8290,fund
002036,安信优势增长混合C,96.9943,3,2.9502,fund
519115,浦银安盛红利精选混合,96.9654,3,3.4725,fund
257050,国联安主题驱动,96.7373,3,2.5026,fund
163818,中银中小盘成长混合,96.7115,3,2.6320,fund
001373,易方达新丝路混合,96.6140,3,1.7420,fund
000663,国投瑞银美丽中国混合,96.5731,3,1.5280,fund
005050,长安鑫旺价值混合C,96.2169,3,2.4066,fund
519017,大成积极成长混合,96.1645,3,0.9940,fund
005049,长安鑫旺价值混合A,95.7613,3,2.4016,fund
519091,新华资源混合,95.6641,3,5.8484,fund
166801,浙商聚潮新思维混合,95.6527,3,2.8460,fund
001998,工银新焦点混合C,95.5717,3,2.0183,fund
006281,万家人工智能混合,95.5361,3,2.0500,fund
519778,交银经济新动力混合,95.4725,3,2.9272,fund
519767,交银科技创新混合,95.4167,3,2.4388,fund
519113,浦银安盛精致生活混合,95.4023,3,3.2300,fund
375010,上投摩根中国优势混合,95.2885,3,1.4812,fund
003153,华富天鑫混合C,95.2393,3,1.5707,fund
460005,华泰柏瑞价值增长,94.8865,3,3.8214,fund
005341,长安裕泰混合A,94.8374,3,2.1625,fund
000308,建信创新中国混合,94.7767,3,5.4070,fund
005342,长安裕泰混合C,94.6930,3,2.1718,fund
005473,富国价值驱动灵活配置混合C,94.6871,3,1.8322,fund
001216,易方达新收益A,94.6357,3,3.0430,fund
001359,国联安添鑫混合A,94.4744,3,1.9815,fund
001780,诺安改革趋势混合,94.2799,3,1.9020,fund
090020,大成健康产业混合,94.2595,3,1.6920,fund
005409,华泰柏瑞战略新兴产业,94.0758,3,1.9656,fund
006132,万家智造优势混合A,94.0644,3,2.4009,fund
002124,广发新兴产业混合,93.9460,3,2.6590,fund
168002,国寿安保策略精选混合(LOF),93.8909,3,2.1640,fund
460007,华泰柏瑞行业领先,93.7923,3,3.4340,fund
501001,财通多策略精选混合,93.7044,3,2.1230,fund
005776,中加转型动力混合C,93.6870,3,2.3440,fund
000165,国投瑞银策略精选混合,93.6066,3,2.5980,fund
001224,中邮新思路混合,93.5818,3,2.8050,fund
001763,广发多策略混合,93.5313,3,1.8250,fund
005708,国联安远见成长混合,93.5243,3,2.2772,fund
110012,易方达科汇混合,93.4945,3,2.3390,fund
000587,大成灵活配置混合,93.4302,3,3.3270,fund
160610,鹏华动力混合,93.4252,3,0.9520,fund
202213,南方核心竞争混合,93.3302,3,2.0464,fund
001654,国联安添鑫混合C,93.2955,3,1.9057,fund
001217,易方达新收益C,93.2548,3,2.9620,fund
110013,易方达科翔混合,93.1870,3,4.4610,fund
005090,嘉合睿金混合发起式A,93.1523,3,1.5412,fund
002563,泓德泓汇混合,93.0076,3,2.2910,fund
006976,鹏华核心优势混合,92.8986,3,1.9286,fund
161616,融通医疗保健行业混合,92.8943,3,2.2260,fund
550002,信诚精萃成长混合,92.7982,3,0.8531,fund
005805,华泰柏瑞医疗健康混合A,92.7245,3,2.1695,fund
160106,南方高增长混合,92.6746,3,1.3945,fund
001471,融通新能源灵活混合A,92.5664,3,2.1760,fund
450011,国富研究精选混合,92.5505,3,3.0500,fund
000124,华宝服务优选,92.4869,3,3.3050,fund
001607,英大策略优选A,92.4429,3,2.1333,fund
002408,中信建投医改混合A,92.2985,3,1.9326,fund
004082,国联安鑫乾混合C,92.0912,3,1.9795,fund
360016,光大行业轮动混合,91.9749,3,1.8190,fund
004183,富国产业升级混合,91.7908,3,2.1634,fund
162204,泰达宏利精选混合,91.3666,3,6.5522,fund
001815,华泰柏瑞激励动力A,91.3652,3,2.1620,fund
006366,兴业安保优选混合,91.1798,3,2.2022,fund
001608,英大策略优选C,91.0615,3,2.0271,fund
006133,万家智造优势混合C,91.0395,3,2.3375,fund
001339,兴银鼎新灵活配置,91.0047,3,1.6350,fund
470006,汇添富医药保健混合,90.9600,3,2.4200,fund
000529,广发竞争优势混合A,90.9521,3,3.5097,fund
240020,华宝医药生物优选,90.8851,3,3.3330,fund
580009,东吴多策略混合,90.7814,3,1.9557,fund
270006,广发策略优选,90.6422,3,3.3248,fund
519644,银河智联混合,90.6250,3,2.1350,fund
519908,华夏兴华混合,90.5584,3,3.3100,fund
040005,华安宏利混合,90.4363,3,8.5902,fund
487021,工银优质精选混合,90.4206,3,3.2600,fund
003032,平安医疗健康灵活配置混合,90.3083,3,1.8517,fund
006299,恒越核心精选混合A,90.2903,3,2.1107,fund
007193,恒越核心精选混合C,90.2615,3,2.1100,fund
519672,银河蓝筹混合,90.2324,3,4.4210,fund
000362,国泰聚信价值优势A,90.0602,3,2.5240,fund
005418,申万菱信量化驱动,89.9383,3,1.5083,fund
000404,易方达新兴成长,89.9009,3,4.0240,fund
050010,博时特许价值混合,89.7032,3,3.1320,fund
005296,南华丰淳混合A,89.6514,3,1.7520,fund
002378,建信弘利混合,89.6501,3,2.2007,fund
005977,中信保诚至兴混合A,89.6078,3,1.9194,fund
000976,长城新兴产业混合,89.5590,3,2.3729,fund
001887,中欧智选E,89.4737,3,4.5540,fund
002064,华富产业升级混合,89.3976,3,1.6900,fund
001294,新华战略新兴产业灵活配置混合,89.3218,3,1.2003,fund
002082,华泰柏瑞激励动力C,89.2792,3,2.3880,fund
166019,中欧价值智选回报A,89.1547,3,4.1266,fund
450001,国富中国收益混合,89.1116,3,1.3016,fund
002281,建信裕利混合,89.0567,3,2.0783,fund
004848,中欧睿泓定期开放灵活配置混合,88.9510,3,1.9957,fund
000967,华泰柏瑞创新动力,88.5192,3,2.8900,fund
002213,中海顺鑫混合,88.4878,3,1.7961,fund
420005,天弘周期策略混合A,88.3943,3,2.5226,fund
005091,嘉合睿金混合发起式C,88.3732,3,1.4991,fund
070018,嘉实回报混合,88.3400,3,1.6390,fund
005876,易方达鑫转增利混合A,88.2220,3,1.9976,fund
001365,大成正向回报,88.2188,3,1.3420,fund
270021,广发聚瑞混合,88.0844,3,4.0551,fund
519995,长信金利趋势混合,87.9752,3,0.6116,fund
001000,中欧明睿新起点混合,87.8947,3,1.7850,fund
005545,中银改革红利灵活配置混合,87.8688,3,2.1588,fund
000556,国投瑞银新机遇混合A,87.8555,3,2.5380,fund
501070,广发睿阳三年定期开放混合,87.5670,3,0.9508,fund
165313,建信优势动力混合,87.4829,3,2.7410,fund
004959,圆信永丰优悦生活混合,87.4348,3,1.7292,fund
213001,宝盈鸿利收益灵活配置混合A,87.3853,3,1.8490,fund
000363,国泰聚信价值优势C,87.3606,3,2.5200,fund
006568,国联安行业领先混合,87.1526,3,1.9127,fund
002567,大成国家安全混合,87.1462,3,1.5870,fund
501032,财通福盛定增定开,87.0660,3,1.5085,fund
005743,长安裕隆灵活配置混合A,86.9631,3,2.4853,fund
004671,中融核心成长混合,86.9098,3,1.5121,fund
001827,富国研究优选沪港深,86.9005,3,2.6110,fund
090009,大成行业轮动混合,86.6839,3,2.8880,fund
530011,建信内生动力混合,86.3503,3,2.4240,fund
001880,长城中国智造混合,86.2152,3,2.0128,fund
000805,中银新经济混合,85.8685,3,1.8940,fund
005297,南华丰淳混合C,85.8432,3,1.6882,fund
460001,华泰柏瑞盛世中国,85.7041,3,0.5007,fund
002307,银华多元视野混合,85.6710,3,2.4490,fund
002593,富国美丽中国混合,85.6105,3,2.5540,fund
002577,南方新兴混合,85.4756,3,1.4430,fund
002801,泓德泓信混合,85.4528,3,1.8842,fund
004905,华泰柏瑞生物医药,85.4347,3,2.2649,fund
006167,德邦乐享生活混合A,85.4062,3,1.8031,fund
002252,融通成长30混合,85.2415,3,2.0710,fund
050026,博时医疗保健混合,85.0917,3,3.2280,fund
005744,长安裕隆灵活配置混合C,85.0681,3,2.4466,fund
000557,国投瑞银新机遇混合C,85.0633,3,2.4550,fund
163804,中银收益混合,85.0402,3,1.4579,fund
005978,中信保诚至兴混合C,84.9667,3,1.8591,fund
310328,申万菱信新动力混合,84.9511,3,0.6360,fund
001985,富国低碳新经济,84.9439,3,2.5170,fund
005877,易方达鑫转增利混合C,84.8889,3,1.9552,fund
004235,中欧价值智选混合C,84.8722,3,3.9204,fund
001071,华安媒体互联网混合,84.8252,3,2.6430,fund
005004,交银品质升级混合,84.6936,3,1.8896,fund
202009,南方盛元红利混合,84.6717,3,1.2140,fund
001623,兴业国企改革混合,84.6093,3,2.3390,fund
257070,国联安优选行业 ,84.5464,3,2.7156,fund
160603,鹏华普天收益,84.0417,3,2.2490,fund
005251,银华多元动力混合,84.0114,3,1.9404,fund
005403,南方融尚再融资混合,83.8954,3,1.8430,fund
