found_date,fd_code,manager_name,totshare,fd_full_name,keeper_name,unit_nav,keep_time,work_year,yield
2018-08-15,005962,张仲维,12亿,宝盈人工A,宝盈基金管理有限公司,2.4181,2018-08-15,12,97.4282
2017-11-09,005236,杨腾 李宜璇,7亿,银华食品饮料C,银华基金管理股份有限公司,2.1792,2020-10-29,9,97.3198
2018-12-26,006081,杨宁嘉 范庭芳,12亿,海富通电子信息传媒产业股票A,海富通基金管理有限公司,2.2618,2021-01-19,8,95.6913
2014-09-03,000746,贾成东,31亿,招商行业精选股票,招商基金管理有限公司,3.3570,2016-12-31,14,94.4959
2006-12-01,162208,张勋,6亿,泰达宏利首选企业股票,泰达宏利基金管理有限公司,1.6866,2014-11-21,16,94.1166
2015-07-27,001577,栾峰,1亿,嘉实低价策略股票,嘉实基金管理有限公司,2.1940,2020-10-19,14,93.9876
2015-10-28,001736,范妍,52亿,圆信永丰优加生活,圆信永丰基金管理有限公司,2.8920,2015-10-28,14,93.4448
2013-06-05,519727,郭斐,15亿,交银成长30前收费基金,交银施罗德基金公司,2.2930,2017-09-26,13,92.8511
2018-08-15,005963,张仲维,12亿,宝盈人工C,宝盈基金管理有限公司,2.3485,2018-08-15,12,92.7844
2014-02-28,000339,陈蔚丰 谭小兵,11亿,长城医疗,长城基金管理公司,3.3340,2021-11-08,12,92.7613
2015-04-22,001166,姜锋,11亿,建信环保产业,建信基金管理有限责任公司,1.3050,2015-04-22,15,92.4779
2019-01-31,006692,周谧,8173万,金信消费升级股票A,,1.5603,2020-10-15,12,91.9434
2018-12-26,006080,杨宁嘉 范庭芳,12亿,海富通电子信息传媒产业股票C,海富通基金管理有限公司,2.1831,2021-01-19,8,91.1981
2018-11-29,005983,赵隆隆 李博,7亿,上投摩根核心精选股票A,上投摩根基金管理有限公司,1.9565,2018-11-29,13,90.8967
2007-02-12,162006,陈良栋,25亿,长城久富核心成长股票型基金,长城基金公司,1.7227,2018-12-28,11,90.5821
2016-12-29,003298,肖觅,4亿,嘉实物流产业股票A,嘉实基金管理有限公司,2.4680,2016-12-29,13,90.2853
2015-02-26,001009,陈思郁,6亿,上投摩根安全战略股票,上投摩根基金管理有限公司,1.5115,2016-10-21,15,89.7385
2018-01-24,005259,刘克飞,1亿,建信龙头企业股票,建信基金管理有限责任公司,1.9121,2018-03-06,10,89.5420
2014-01-28,000471,蒲世林,7亿,富国城镇发展股票,富国基金管理有限公司,2.3040,2018-12-19,14,88.6978
2017-07-18,004683,潘龙玲,3亿,建信高端医疗股票,建信基金管理有限责任公司,1.9001,2017-07-18,10,88.4272
2015-01-21,000867,汤慧,1亿,华宝品质生活,华宝基金管理有限公司,1.8250,2021-04-10,12,88.1443
2019-04-03,006604,吴越,21亿,嘉实消费精选股票A,嘉实基金管理有限公司,1.8621,2020-12-09,9,88.1289
2019-02-28,006228,葛兰,130亿,中欧医疗创新股票A,中欧基金管理公司,1.8791,2019-02-28,11,88.0981
2016-12-29,003299,肖觅,4亿,嘉实物流产业股票C,嘉实基金管理有限公司,2.4280,2016-12-29,13,87.9257
2012-11-07,519714,韩威俊,22亿,交银等权前收费基金,交银施罗德基金公司,1.7460,2018-08-24,17,87.6705
2015-12-30,001714,袁芳,130亿,工银文体产业股票,工银瑞信基金管理有限公司,2.8330,2015-12-30,15,87.4715
2019-01-31,006693,周谧,8173万,金信消费升级股票C,,1.6099,2020-10-15,12,87.4329
2014-10-22,000793,黄安乐,13亿,工银高端制造股票,工银瑞信基金管理有限公司,1.5290,2018-06-05,19,87.3775
2016-03-15,001917,王平,1亿,招商量化精选股票,招商基金管理有限公司,1.8904,2016-03-15,16,87.3167
2017-09-29,005009,廖明兵,1亿,申万菱信行业轮动股票A,申万菱信基金管理有限公司,1.5726,2021-07-23,12,87.2589
2011-01-27,200012,何以广,15亿,长城中小盘,长城基金管理公司,2.7048,2015-06-04,11,87.0410
2018-11-22,001678,汤戈 张媛,7054万,英大国企改革主题股票型证券投资基金,英大基金管理有限公司,1.3283,2019-03-11,8,86.0986
2014-11-04,000778,袁航,3亿,鹏华先进制造股票,鹏华基金管理有限公司,2.8970,2014-11-04,13,85.8242
2016-03-15,001975,杨锐文,94亿,景顺长城环保优势,景顺长城基金管理有限公司,2.8870,2016-03-15,12,85.6592
2017-11-06,005267,谭丽,65亿,嘉实价值精选股票,嘉实基金管理有限公司,1.9344,2017-11-06,21,85.0569
2019-04-03,006605,吴越,21亿,嘉实消费精选股票C,嘉实基金管理有限公司,1.8313,2020-12-09,9,85.0359
2014-06-20,000513,毕天宇,15亿,富国高端制造行业,富国基金管理有限公司,3.0510,2014-06-20,22,84.5735
2015-05-06,001186,林庆,18亿,富国文体健康股票,富国基金管理有限公司,1.9580,2015-05-06,13,84.5429
2015-01-27,001008,何肖颉,10亿,工银国企改革股票,工银瑞信基金管理有限公司,2.0770,2015-01-27,24,83.8053
2019-02-28,006229,葛兰,130亿,中欧医疗创新股票C,中欧基金管理公司,1.8340,2019-02-28,11,83.6939
2015-08-06,001651,王筱苓,4亿,工银新蓝筹股票,工银瑞信基金管理有限公司,2.5360,2015-08-06,25,83.5022
2015-02-03,000628,刘旭,54亿,大成高新技术产业股票,大成基金管理有限公司,3.1800,2015-07-29,11,83.4968
2015-04-30,001167,陈颖,3亿,金鹰科技创新股票,金鹰基金管理有限公司,1.1040,2021-05-18,12,82.4793
2015-10-21,001766,方钰涵,13亿,上投摩根医疗健康股票,上投摩根基金管理有限公司,1.8941,2019-08-16,9,82.1250
2015-12-02,001915,姚艺,6亿,宝盈医疗健康,宝盈基金管理有限公司,1.5680,2021-03-09,11,81.6918
2017-12-14,005402,孙迪,16亿,广发资源优选股票,广发基金管理有限公司,1.7495,2017-12-14,13,81.6719
2018-02-08,001749,李华建,7亿,招商中国机遇股票,招商基金管理有限公司,1.7240,2021-01-16,19,81.6649
2017-06-15,001579,程洲,11亿,国泰大农业股票,国泰基金管理有限公司,2.3920,2017-06-15,22,81.6249
2015-04-09,001104,王春,12亿,华安新丝路主题股票,华安基金管理有限公司,1.9800,2022-03-28,21,81.6079
2015-02-13,000996,吴印,11亿,中银新动力股票,中银基金管理有限公司,1.0580,2018-05-03,15,81.4751
2014-12-26,160919,李林益,3亿,大成产业升级股票型证券投资基金（LOF,大成基金管理有限公司,2.2960,2015-07-07,11,81.3586
2015-04-24,001072,李欣,10亿,华安智能装备主题股票,华安基金管理有限公司,1.8460,2015-07-09,13,81.3360
2017-12-11,005310,冯骋 观富钦,3亿,广发电子信息传媒股票A,广发基金管理有限公司,1.5963,2018-02-13,11,81.0480
2017-12-04,005303,郝淼,15亿,嘉实医药健康股票A,嘉实基金管理有限公司,1.7946,2021-08-11,11,80.8890
2015-10-08,001883,许文星 王健,27亿,中欧动力E,中欧基金管理公司,3.2261,2016-11-03,19,79.3374
2014-11-18,519673,方伟,2亿,银河康乐股票型证券投资基金,银河基金管理有限公司,2.6480,2021-05-10,9,79.2823
2015-06-25,001384,曲华锋,2亿,东方新思路灵活配置A,东方基金管理股份有限公司,1.4471,2020-04-30,10,79.2518
2016-12-07,003634,吴越,25亿,嘉实农业产业股票,嘉实基金管理有限公司,2.1275,2020-12-09,9,79.1277
2017-07-04,004698,兰乔,55亿,博时军工主题股票,博时基金管理有限公司,1.6770,2017-07-04,12,78.5942
2005-11-17,161706,贾成东,19亿,招商优质成长前收费基金,招商基金管理有限公司,2.7559,2017-06-29,14,77.5507
2015-02-02,000985,曲盛伟,13亿,嘉实逆向策略股票,嘉实基金管理有限公司,2.1530,2018-07-18,12,77.3476
2016-08-22,003190,陈建军,2亿,创金合信消费主题股票A,创金合信基金管理有限公司,2.3696,2019-05-30,9,77.1266
2017-12-04,005304,郝淼,15亿,嘉实医药健康股票C,嘉实基金管理有限公司,1.7343,2021-08-11,11,76.7530
