found_date,fd_code,manager_name,totshare,fd_full_name,keeper_name,unit_nav,keep_time,work_year
2015-04-29,001163,薄官辉,7亿,银华中国梦30股票,银华基金管理股份有限公司,1.8410,2015-04-29,18
2015-05-12,001208,蔡宇滨,8亿,诺安低碳经济股票A,诺安基金管理有限公司,2.0440,2019-01-22,13
2015-09-01,001672,张琦,4亿,国寿安保智慧生活股票,国寿安保基金管理有限公司,1.6920,2015-09-23,17
2016-02-03,002300,周思聪,2亿,长盛医疗量化股票,长盛基金管理有限公司,1.8700,2019-05-22,14
2015-06-23,001396,何珅华,3亿,建信互联网+产业升级,建信基金管理有限责任公司,1.1580,2015-06-23,12
2014-12-11,000893,杨鑫鑫,6亿,工银创新动力股票,工银瑞信基金管理有限公司,0.9330,2019-02-28,14
2015-06-05,001409,单文,44亿,工银互联网加股票,工银瑞信基金管理有限公司,0.5490,2020-12-02,13
2010-11-23,450009,赵晓东,47亿,国富中小盘股票,国海富兰克林基金管理有限公司,2.4100,2010-11-23,24
2010-08-12,164205,刘国江,4亿,天弘文化新兴产业股票A,天弘基金公司,2.1961,2021-02-26,14
2014-09-17,000751,归凯,106亿,嘉实新兴产业股票,嘉实基金管理有限公司,3.7260,2018-12-04,16
2018-11-14,004350,吴培文,2亿,汇丰晋信价值先锋股票,汇丰晋信基金管理有限公司,2.1204,2019-05-18,13
2018-02-08,005189,纪君凯,3亿,海富通量化前锋股票型证券投资基金A,海富通基金管理有限公司,1.4201,2020-07-03,6
2014-04-14,000549,翁启森,1亿,华安大国新经济股票,华安基金管理有限公司,2.9530,2014-04-15,28
2015-08-07,001541,卞正,2亿,添富民营新动力,汇添富基金管理股份有限公司,1.3720,2022-02-21,10
2017-12-14,004995,陈樱子 孙迪,3亿,广发品牌消费股票,广发基金管理有限公司,1.5924,2017-12-14,13
2019-01-17,006712,黄玥,1亿,前海开源MSCI中国A股消费A,前海开源基金管理有限公司,2.0010,2020-12-18,19
2018-02-08,005188,纪君凯,3亿,海富通量化前锋股票型证券投资基金C,海富通基金管理有限公司,1.4248,2020-07-03,6
2011-09-21,710001,栾庆帅 吴战峰,8亿,富安达优势成长股票,富安达基金管理有限公司,3.3019,2016-01-09,27
2015-12-02,001726,刘伟林,4亿,添富新兴消费,汇添富基金管理股份有限公司,1.5730,2015-12-02,14
2018-02-13,003069,翟云飞,2亿,光大保德信创业板优选A,光大保德信基金管理有限公司,1.5387,2018-02-13,12
2017-08-01,004040,韩广哲,10亿,金鹰医疗健康股票A,金鹰基金管理有限公司,1.5792,2019-10-30,15
2016-01-20,001605,徐成,55亿,国富沪港深成长精选股票,国海富兰克林基金管理有限公司,1.9810,2017-07-08,16
2014-12-19,000884,金耀,2亿,民生加银优选股票,民生加银基金管理有限公司,1.8210,2021-12-01,12
2016-05-11,002076,胡羿 向伟,15亿,浙商中证500指数增强A,浙商基金管理有限公司,1.5683,2020-11-30,7
2015-03-17,001028,翁启森,4亿,华安物联网主题股票,华安基金管理有限公司,1.1690,2015-03-17,28
2014-04-21,000577,陈一峰,28亿,安信价值精选股票,安信基金管理有限责任公司,4.6010,2014-04-21,14
2018-09-26,671030,张昌平,4亿,西部利得事件驱动股票,西部利得基金管理有限公司,2.0272,2020-11-05,14
2015-05-26,001195,杨柯,7亿,工银农业产业股票,工银瑞信基金管理有限公司,1.1310,2015-05-26,14
2017-08-01,004041,韩广哲,10亿,金鹰医疗健康股票C,金鹰基金管理有限公司,1.6435,2019-10-30,15
2015-06-19,001404,张林,16亿,招商移动互联网股票,招商基金管理有限公司,1.1680,2019-06-14,12
2014-12-08,000925,蔡志文 王栩,20亿,添富外延增长,汇添富基金管理股份有限公司,1.5720,2019-01-18,20
2015-12-07,001637,刘斌 龙昌伦,6亿,嘉实腾讯自选股大数据策略股票,嘉实基金管理有限公司,1.7365,2021-11-26,16
2009-06-19,217012,吴昊,3亿,招商行业领先股票,招商基金管理有限公司,2.0370,2014-10-31,16
2018-11-29,006502,张胤 金梓才,1亿,财通集成电路A,财通基金管理有限公司,1.5752,2018-11-29,12
2018-09-27,005826,王睿智 潘中宁,1亿,华夏潜龙精选股票,华夏基金管理有限公司,1.9004,2018-09-27,24
2017-01-23,673090,童国林,2亿,西部利得个股精选股票A,西部利得基金管理有限公司,1.5876,2021-07-14,27
2015-04-28,001162,肖立强,7428万,前海开源优势蓝筹A类,前海开源基金管理有限公司,1.5670,2020-07-20,12
2017-01-25,003956,萧嘉倩,5亿,南方教育股票,南方基金管理股份有限公司,1.5851,2021-12-28,11
2006-09-20,340006,王品,26亿,兴全全球视野,兴证全球基金管理有限公司,2.5727,2017-09-19,22
2015-07-06,001638,肖立强,7428万,前海开源优势蓝筹C类,前海开源基金管理有限公司,1.7150,2020-07-20,12
2017-12-28,005495,周志敏,3亿,创金合信科技成长股票A,创金合信基金管理有限公司,1.4787,2017-12-28,11
2017-02-23,519193,高源,5亿,万家消费成长股票型证券投资基金,万家基金管理公司,2.3358,2017-11-14,17
2015-11-03,001938,周蔚文 罗佳明 刘伟伟,223亿,中欧时代先锋股票A,中欧基金管理公司,1.3574,2021-12-17,23
